date,product_id,planned_units,actual_units,defect_units,machine_downtime_hrs,operator_notes
2024-01-11,P003,150,159,1,0.0,New batch quality check passed
2024-01-11,P004,30,32,0,0.0,Minor calibration issue resolved by afternoon
2024-01-11,P005,300,314,3,0.0,"Normal shift, no issues"
2024-01-12,P001,200,213,3,0.0,Minor calibration issue resolved by afternoon
2024-01-12,P002,120,125,0,0.0,Routine maintenance scheduled
2024-01-12,P003,150,158,0,0.0,Minor calibration issue resolved by afternoon
2024-01-12,P004,30,29,1,0.0,Minor calibration issue resolved by afternoon
2024-01-12,P005,300,307,3,0.0,"Overtime run, exceeded target"
2024-01-15,P001,200,195,2,0.4,Routine maintenance scheduled
2024-01-15,P002,120,116,0,0.0,"Normal shift, no issues"
2024-01-15,P003,150,151,1,0.0,"Normal shift, no issues"
2024-01-15,P004,30,23,4,2.3,"Hydraulic pressure fault, technician called"
2024-01-15,P005,300,294,4,0.0,Minor calibration issue resolved by afternoon
2024-01-16,P001,200,206,0,0.0,New batch quality check passed
2024-01-16,P002,120,120,0,0.0,"Overtime run, exceeded target"
2024-01-16,P003,150,160,1,0.0,New batch quality check passed
2024-01-16,P004,30,31,1,0.0,New batch quality check passed
2024-01-16,P005,300,295,3,0.0,"Overtime run, exceeded target"
2024-01-17,P001,200,190,2,0.0,Routine maintenance scheduled
2024-01-17,P002,120,127,1,0.0,Routine maintenance scheduled
2024-01-17,P003,150,138,1,0.0,Minor calibration issue resolved by afternoon
2024-01-17,P004,30,30,1,0.0,Routine maintenance scheduled
2024-01-17,P005,300,308,4,0.0,Routine maintenance scheduled
2024-01-18,P001,200,214,1,0.0,"Normal shift, no issues"
2024-01-18,P002,120,123,1,0.0,"Normal shift, no issues"
2024-01-18,P003,150,156,2,0.0,"Overtime run, exceeded target"
2024-01-18,P004,30,28,0,0.0,"Normal shift, no issues"
2024-01-18,P005,300,298,0,0.0,Routine maintenance scheduled
2024-01-19,P001,200,204,1,0.0,Routine maintenance scheduled
2024-01-19,P002,120,115,0,0.0,"Normal shift, no issues"
2024-01-19,P003,150,143,2,0.0,New batch quality check passed
2024-01-19,P004,30,30,0,0.0,Routine maintenance scheduled
2024-01-19,P005,300,298,4,0.0,New batch quality check passed
2024-01-22,P001,200,212,3,0.0,New batch quality check passed
2024-01-22,P002,120,126,1,0.0,"Overtime run, exceeded target"
2024-01-22,P003,150,144,2,0.0,Routine maintenance scheduled
2024-01-22,P004,30,27,1,0.0,Minor calibration issue resolved by afternoon
2024-01-22,P005,300,301,1,0.0,Minor calibration issue resolved by afternoon
2024-01-23,P001,200,206,1,0.0,"Normal shift, no issues"
2024-01-23,P002,120,116,1,0.0,Routine maintenance scheduled
2024-01-23,P003,150,147,2,0.4,"Normal shift, no issues"
2024-01-23,P004,30,31,1,0.0,Routine maintenance scheduled
2024-01-23,P005,300,312,3,0.2,New batch quality check passed
2024-01-24,P001,200,201,1,0.0,Routine maintenance scheduled
2024-01-24,P002,120,118,0,0.0,Routine maintenance scheduled
2024-01-24,P003,150,154,1,0.0,Minor calibration issue resolved by afternoon
2024-01-24,P004,30,32,0,0.0,Routine maintenance scheduled
2024-01-24,P005,300,307,0,0.0,Routine maintenance scheduled
2024-01-25,P001,200,198,0,0.0,"Overtime run, exceeded target"
2024-01-25,P002,120,114,1,0.0,"Overtime run, exceeded target"
2024-01-25,P003,150,147,1,0.0,"Overtime run, exceeded target"
2024-01-25,P004,30,29,0,0.0,"Overtime run, exceeded target"
2024-01-25,P005,300,279,0,0.0,"Normal shift, no issues"
2024-01-26,P001,200,190,0,0.0,New batch quality check passed
2024-01-26,P002,120,112,0,0.0,New batch quality check passed
2024-01-26,P003,150,149,1,0.0,"Overtime run, exceeded target"
2024-01-26,P004,30,30,0,0.0,Minor calibration issue resolved by afternoon
2024-01-26,P005,300,281,0,0.0,"Overtime run, exceeded target"
2024-01-29,P001,200,196,2,0.0,Minor calibration issue resolved by afternoon
2024-01-29,P002,168,127,2,3.1,Conveyor belt replacement — 3hr downtime
2024-01-29,P003,150,140,2,0.0,"Normal shift, no issues"
2024-01-29,P004,30,29,1,0.0,"Normal shift, no issues"
2024-01-29,P005,300,281,2,0.0,Routine maintenance scheduled
2024-01-30,P001,200,197,2,0.0,New batch quality check passed
2024-01-30,P002,168,161,2,0.0,Routine maintenance scheduled
2024-01-30,P003,150,157,2,0.0,"Overtime run, exceeded target"
2024-01-30,P004,30,28,0,0.0,"Overtime run, exceeded target"
2024-01-30,P005,300,287,3,0.0,New batch quality check passed
2024-01-31,P001,200,196,0,0.0,Routine maintenance scheduled
2024-01-31,P002,168,159,0,0.0,"Overtime run, exceeded target"
2024-01-31,P003,150,146,2,0.0,"Overtime run, exceeded target"
2024-01-31,P004,30,30,0,0.0,"Normal shift, no issues"
2024-01-31,P005,300,295,4,0.0,Minor calibration issue resolved by afternoon
2024-02-01,P001,200,204,3,0.0,Routine maintenance scheduled
2024-02-01,P002,168,157,0,0.0,Routine maintenance scheduled
2024-02-01,P003,150,145,2,0.0,"Overtime run, exceeded target"
2024-02-01,P004,30,30,1,0.0,New batch quality check passed
2024-02-01,P005,300,309,2,0.0,"Overtime run, exceeded target"
2024-02-02,P001,200,187,0,0.0,"Overtime run, exceeded target"
2024-02-02,P002,168,168,2,0.0,Minor calibration issue resolved by afternoon
2024-02-02,P003,150,155,1,0.0,New batch quality check passed
2024-02-02,P004,30,30,1,0.0,"Normal shift, no issues"
2024-02-02,P005,300,290,2,0.0,Minor calibration issue resolved by afternoon
2024-02-05,P001,200,188,0,0.0,"Normal shift, no issues"
2024-02-05,P002,168,157,1,0.0,"Normal shift, no issues"
2024-02-05,P003,150,149,1,0.0,"Overtime run, exceeded target"
2024-02-05,P004,30,25,5,1.2,"Machine breakdown, repaired within shift"
2024-02-05,P005,300,279,0,0.0,Minor calibration issue resolved by afternoon
2024-02-06,P001,200,202,2,0.0,"Normal shift, no issues"
2024-02-06,P002,168,157,1,0.0,New batch quality check passed
2024-02-06,P003,150,152,2,0.0,Routine maintenance scheduled
2024-02-06,P004,30,29,1,0.0,"Overtime run, exceeded target"
2024-02-06,P005,300,278,0,0.0,Minor calibration issue resolved by afternoon
2024-02-07,P001,200,192,0,0.0,Minor calibration issue resolved by afternoon
2024-02-07,P002,168,169,0,0.0,"Normal shift, no issues"
2024-02-07,P003,150,154,1,0.0,"Overtime run, exceeded target"
2024-02-07,P004,30,28,1,0.1,"Normal shift, no issues"
2024-02-07,P005,300,320,4,0.0,Minor calibration issue resolved by afternoon
2024-02-08,P001,200,201,1,0.0,"Overtime run, exceeded target"
2024-02-08,P002,168,44,0,2.2,Raw material stockout — production severely limited
2024-02-08,P003,150,152,2,0.0,"Overtime run, exceeded target"
2024-02-08,P004,30,29,1,0.0,Routine maintenance scheduled
2024-02-08,P005,300,300,3,0.0,Routine maintenance scheduled
2024-02-09,P001,200,197,1,0.0,New batch quality check passed
2024-02-09,P002,168,25,0,2.9,Raw material stockout — production severely limited
2024-02-09,P003,150,158,2,0.0,"Normal shift, no issues"
2024-02-09,P004,30,30,1,0.0,New batch quality check passed
2024-02-09,P005,300,298,3,0.4,"Overtime run, exceeded target"
2024-02-12,P001,200,151,5,2.8,"Machine breakdown, repaired within shift"
2024-02-12,P002,168,32,1,3.3,Raw material stockout — production severely limited
2024-02-12,P003,150,145,2,0.0,Routine maintenance scheduled
2024-02-12,P004,30,31,0,0.0,Routine maintenance scheduled
2024-02-12,P005,300,188,8,1.8,"Hydraulic pressure fault, technician called"
2024-02-13,P001,200,210,0,0.0,New batch quality check passed
2024-02-13,P002,168,32,0,2.8,Raw material stockout — production severely limited
2024-02-13,P003,150,156,2,0.0,Routine maintenance scheduled
2024-02-13,P004,30,28,0,0.0,"Overtime run, exceeded target"
2024-02-13,P005,300,309,0,0.0,"Normal shift, no issues"
2024-02-14,P001,200,203,1,0.0,Minor calibration issue resolved by afternoon
2024-02-14,P002,168,27,0,4.2,Raw material stockout — production severely limited
2024-02-14,P003,150,159,1,0.5,"Normal shift, no issues"
2024-02-14,P004,30,28,1,0.0,New batch quality check passed
2024-02-14,P005,300,295,3,0.0,Routine maintenance scheduled
2024-02-15,P001,200,201,3,0.0,Minor calibration issue resolved by afternoon
2024-02-15,P002,120,120,0,0.0,"Normal shift, no issues"
2024-02-15,P003,150,156,1,0.0,"Overtime run, exceeded target"
2024-02-15,P004,30,30,0,0.0,"Overtime run, exceeded target"
2024-02-15,P005,300,316,4,0.0,Routine maintenance scheduled
2024-02-16,P001,200,198,1,0.0,"Overtime run, exceeded target"
2024-02-16,P002,120,125,1,0.0,Routine maintenance scheduled
2024-02-16,P003,150,158,2,0.0,Minor calibration issue resolved by afternoon
2024-02-16,P004,30,28,1,0.0,"Normal shift, no issues"
2024-02-16,P005,300,298,3,0.0,Routine maintenance scheduled
2024-02-19,P001,200,204,1,0.0,Routine maintenance scheduled
2024-02-19,P002,120,128,1,0.0,"Normal shift, no issues"
2024-02-19,P003,150,150,1,0.0,"Normal shift, no issues"
2024-02-19,P004,30,30,0,0.0,"Normal shift, no issues"
2024-02-19,P005,300,292,3,0.0,"Normal shift, no issues"
2024-02-20,P001,200,211,3,0.0,"Overtime run, exceeded target"
2024-02-20,P002,120,127,1,0.0,New batch quality check passed
2024-02-20,P003,150,153,1,0.0,Minor calibration issue resolved by afternoon
2024-02-20,P004,30,29,0,0.0,"Normal shift, no issues"
2024-02-20,P005,300,309,0,0.0,"Normal shift, no issues"
2024-02-21,P001,200,185,1,0.0,"Overtime run, exceeded target"
2024-02-21,P002,120,115,1,0.0,New batch quality check passed
2024-02-21,P003,150,142,0,0.0,"Normal shift, no issues"
2024-02-21,P004,30,29,0,0.0,Routine maintenance scheduled
2024-02-21,P005,300,282,3,0.0,"Overtime run, exceeded target"
2024-02-22,P001,200,205,3,0.0,"Overtime run, exceeded target"
2024-02-22,P002,120,113,1,0.0,"Overtime run, exceeded target"
2024-02-22,P003,150,145,1,0.0,"Overtime run, exceeded target"
2024-02-22,P004,30,29,1,0.0,Routine maintenance scheduled
2024-02-22,P005,300,294,2,0.0,New batch quality check passed
2024-02-23,P001,200,206,0,0.0,Routine maintenance scheduled
2024-02-23,P002,120,121,0,0.0,New batch quality check passed
2024-02-23,P003,150,157,1,0.0,Minor calibration issue resolved by afternoon
2024-02-23,P004,30,29,0,0.0,New batch quality check passed
2024-02-23,P005,300,312,1,0.0,"Normal shift, no issues"
2024-02-26,P001,200,193,1,0.0,"Normal shift, no issues"
2024-02-26,P002,120,112,1,0.0,"Overtime run, exceeded target"
2024-02-26,P003,195,183,2,0.0,"Overtime run, exceeded target"
2024-02-26,P004,30,31,1,0.0,Routine maintenance scheduled
2024-02-26,P005,300,317,0,0.0,Routine maintenance scheduled
2024-02-27,P001,200,188,0,0.0,Routine maintenance scheduled
2024-02-27,P002,120,125,1,0.0,"Normal shift, no issues"
2024-02-27,P003,195,179,2,0.0,"Normal shift, no issues"
2024-02-27,P004,30,30,1,0.0,New batch quality check passed
2024-02-27,P005,300,306,2,0.0,"Normal shift, no issues"
2024-02-28,P001,200,199,2,0.0,New batch quality check passed
2024-02-28,P002,120,122,0,0.0,Routine maintenance scheduled
2024-02-28,P003,195,188,1,0.0,"Normal shift, no issues"
2024-02-28,P004,30,32,1,0.0,Routine maintenance scheduled
2024-02-28,P005,300,287,4,0.0,Minor calibration issue resolved by afternoon
2024-02-29,P001,200,195,2,0.0,New batch quality check passed
2024-02-29,P002,120,124,0,0.0,Routine maintenance scheduled
2024-02-29,P003,195,205,3,0.0,"Overtime run, exceeded target"
2024-02-29,P004,30,29,0,0.2,"Overtime run, exceeded target"
2024-02-29,P005,300,302,2,0.3,"Normal shift, no issues"
2024-03-01,P001,200,190,0,0.0,Routine maintenance scheduled
2024-03-01,P002,120,122,0,0.1,"Normal shift, no issues"
2024-03-01,P003,195,186,0,0.0,New batch quality check passed
2024-03-01,P004,30,31,0,0.0,New batch quality check passed
2024-03-01,P005,300,317,2,0.0,Minor calibration issue resolved by afternoon
2024-03-04,P001,200,192,0,0.0,Minor calibration issue resolved by afternoon
2024-03-04,P002,120,112,0,0.0,Minor calibration issue resolved by afternoon
2024-03-04,P003,195,128,4,3.4,"Machine breakdown, repaired within shift"
2024-03-04,P004,30,23,6,1.2,"Machine breakdown, repaired within shift"
2024-03-04,P005,300,313,4,0.0,New batch quality check passed
2024-03-05,P001,200,200,0,0.0,New batch quality check passed
2024-03-05,P002,120,122,0,0.0,"Normal shift, no issues"
2024-03-05,P003,195,205,3,0.0,"Normal shift, no issues"
2024-03-05,P004,30,31,0,0.0,"Normal shift, no issues"
2024-03-05,P005,300,283,1,0.0,"Overtime run, exceeded target"
2024-03-06,P001,200,202,2,0.0,Routine maintenance scheduled
2024-03-06,P002,120,120,1,0.0,New batch quality check passed
2024-03-06,P003,195,182,2,0.0,"Normal shift, no issues"
2024-03-06,P004,30,30,0,0.0,Routine maintenance scheduled
2024-03-06,P005,300,286,2,0.0,Routine maintenance scheduled
2024-03-07,P001,200,207,2,0.0,Routine maintenance scheduled
2024-03-07,P002,120,115,0,0.0,Routine maintenance scheduled
2024-03-07,P003,195,182,0,0.4,"Overtime run, exceeded target"
2024-03-07,P004,30,30,1,0.0,"Normal shift, no issues"
2024-03-07,P005,300,317,3,0.0,"Normal shift, no issues"
2024-03-08,P001,200,203,2,0.0,"Normal shift, no issues"
2024-03-08,P002,120,114,1,0.0,Minor calibration issue resolved by afternoon
2024-03-08,P003,195,190,2,0.0,"Overtime run, exceeded target"
2024-03-08,P004,30,28,0,0.0,Routine maintenance scheduled
2024-03-08,P005,300,322,4,0.0,New batch quality check passed
2024-03-11,P001,200,203,2,0.0,"Normal shift, no issues"
2024-03-11,P002,120,81,4,3.1,Conveyor belt replacement — 3hr downtime
2024-03-11,P003,195,144,5,3.6,"Machine breakdown, repaired within shift"
2024-03-11,P004,30,18,7,2.9,Power fluctuation caused 2hr halt
2024-03-11,P005,300,283,2,0.0,"Overtime run, exceeded target"
2024-03-12,P001,200,202,0,0.0,"Normal shift, no issues"
2024-03-12,P002,120,124,0,0.0,"Normal shift, no issues"
2024-03-12,P003,195,200,3,0.0,New batch quality check passed
2024-03-12,P004,30,28,0,0.0,"Overtime run, exceeded target"
2024-03-12,P005,300,289,4,0.0,Routine maintenance scheduled
2024-03-13,P001,200,193,0,0.0,Routine maintenance scheduled
2024-03-13,P002,120,111,0,0.0,"Overtime run, exceeded target"
2024-03-13,P003,195,203,2,0.0,"Overtime run, exceeded target"
2024-03-13,P004,30,27,1,0.0,Minor calibration issue resolved by afternoon
2024-03-13,P005,300,301,1,0.0,New batch quality check passed
2024-03-14,P001,200,205,2,0.0,"Normal shift, no issues"
2024-03-14,P002,120,124,1,0.0,"Normal shift, no issues"
2024-03-14,P003,195,181,1,0.0,New batch quality check passed
2024-03-14,P004,30,29,1,0.0,"Overtime run, exceeded target"
2024-03-14,P005,300,277,2,0.0,Minor calibration issue resolved by afternoon
2024-03-15,P001,200,203,2,0.0,"Normal shift, no issues"
2024-03-15,P002,120,112,1,0.0,New batch quality check passed
2024-03-15,P003,195,181,1,0.0,"Overtime run, exceeded target"
2024-03-15,P004,30,31,0,0.0,New batch quality check passed
2024-03-15,P005,300,301,1,0.0,"Overtime run, exceeded target"
2024-03-18,P001,200,204,1,0.0,Minor calibration issue resolved by afternoon
2024-03-18,P002,120,77,3,1.8,"Machine breakdown, repaired within shift"
2024-03-18,P003,195,141,8,3.3,"Hydraulic pressure fault, technician called"
2024-03-18,P004,30,30,1,0.0,"Overtime run, exceeded target"
2024-03-18,P005,300,213,4,1.2,Conveyor belt replacement — 3hr downtime
2024-03-19,P001,200,195,0,0.0,"Overtime run, exceeded target"
2024-03-19,P002,120,111,1,0.0,"Overtime run, exceeded target"
2024-03-19,P003,195,206,3,0.4,Routine maintenance scheduled
2024-03-19,P004,30,32,0,0.0,Routine maintenance scheduled
2024-03-19,P005,300,303,1,0.0,"Overtime run, exceeded target"
2024-03-20,P001,200,200,0,0.0,Routine maintenance scheduled
2024-03-20,P002,120,127,1,0.0,"Normal shift, no issues"
2024-03-20,P003,195,184,0,0.0,Routine maintenance scheduled
2024-03-20,P004,30,30,0,0.0,"Overtime run, exceeded target"
2024-03-20,P005,300,289,3,0.0,"Overtime run, exceeded target"
2024-03-21,P001,200,185,2,0.0,"Overtime run, exceeded target"
2024-03-21,P002,120,123,1,0.0,"Overtime run, exceeded target"
2024-03-21,P003,195,199,2,0.0,Minor calibration issue resolved by afternoon
2024-03-21,P004,30,30,0,0.0,"Overtime run, exceeded target"
2024-03-21,P005,300,307,3,0.0,Minor calibration issue resolved by afternoon
2024-03-22,P001,200,214,2,0.0,New batch quality check passed
2024-03-22,P002,120,125,0,0.0,New batch quality check passed
2024-03-22,P003,195,195,0,0.3,"Overtime run, exceeded target"
2024-03-22,P004,30,32,1,0.0,Routine maintenance scheduled
2024-03-22,P005,300,323,1,0.0,"Normal shift, no issues"
2024-03-25,P001,200,200,0,0.0,"Overtime run, exceeded target"
2024-03-25,P002,120,121,0,0.0,Minor calibration issue resolved by afternoon
2024-03-25,P003,195,147,3,3.1,"Hydraulic pressure fault, technician called"
2024-03-25,P004,30,23,5,2.1,Conveyor belt replacement — 3hr downtime
2024-03-25,P005,300,287,1,0.0,"Overtime run, exceeded target"
2024-03-26,P001,200,209,1,0.0,"Overtime run, exceeded target"
2024-03-26,P002,120,121,1,0.0,Routine maintenance scheduled
2024-03-26,P003,195,203,3,0.0,Minor calibration issue resolved by afternoon
2024-03-26,P004,30,31,0,0.0,"Overtime run, exceeded target"
2024-03-26,P005,300,293,0,0.2,New batch quality check passed
2024-03-27,P001,200,193,0,0.0,"Overtime run, exceeded target"
2024-03-27,P002,120,120,1,0.0,"Normal shift, no issues"
2024-03-27,P003,195,186,1,0.0,"Overtime run, exceeded target"
2024-03-27,P004,30,29,1,0.0,New batch quality check passed
2024-03-27,P005,300,294,0,0.0,"Overtime run, exceeded target"
2024-03-28,P001,200,194,0,0.0,"Overtime run, exceeded target"
2024-03-28,P002,120,113,1,0.0,Routine maintenance scheduled
2024-03-28,P003,195,183,2,0.0,Routine maintenance scheduled
2024-03-28,P004,30,27,0,0.0,"Normal shift, no issues"
2024-03-28,P005,300,316,4,0.0,New batch quality check passed
2024-03-29,P001,200,187,1,0.0,Minor calibration issue resolved by afternoon
2024-03-29,P002,120,111,1,0.0,New batch quality check passed
2024-03-29,P003,195,182,1,0.0,New batch quality check passed
2024-03-29,P004,30,30,0,0.0,Minor calibration issue resolved by afternoon
2024-03-29,P005,300,276,2,0.0,Minor calibration issue resolved by afternoon
